Geonames	Waterbody Name	 Number of Stations	Is drinking water	Cyanobacteria exposure category	CyAN object ID	centroid latitude	centroid longitude	area (km2)	elevation (m)	CyAN data	COEPHT data	Cells present	toxins tested	toxins detected	zipcode adjacent	is recreation	zipcode water source	Notes	More information
https://www.geonames.org/5578429/jackson-reservoir.html	Jackson Reservoir/Lake	5		chronic	1988702	40.39189132	-104.073692	9.85	1350.36	Y	Y	Y	Y	Y		Yes		toxins tested in two years and detected in one year	https://cpw.state.co.us/placestogo/parks/JacksonLake
https://www.geonames.org/5426605/joe-moore-reservoir.html	Joe Moore Reservoir	1				37.42268	-108.31653			N	Y		Y	Y				toxins tested in two years and detected in one year	
https://www.geonames.org/5426638/john-martin-reservoir.html	John Martin Reservoir	3			3729695	38.0730372	-103.028006	47.29	1174.28	Y	Y	Y	Y	N				only tested for toxins once, but cells observed for four years	
https://www.geonames.org/5578571/julesburg-reservoir.html	Julesburg Reservoir	7		chronic		40.93137	-102.65055			Y	N	Y	N			Yes			https://www.colorado.com/wildlife-viewing-refuges/jumbo-reservoir-state-wildlife-area
	Jumbo Reservoir	Jumbo Reservoir (Julesburg)			3203579	40.93137982	-102.650547	5.74	1128.98	Y	Y		Y	Y				Used to be part of Julesburg Reservoir? - toxins tested and detected in one year	
https://www.geonames.org/5426847/juniata-reservoir.html	Juniata Reservoir	1				38.96643	-108.28132			Y		Y							
https://www.geonames.org/5429910/main-reservoir.html	Kendrick Main Reservoir	1				39.69499	-105.11554			Y		Y						Aka Main Reservoir	
https://www.geonames.org/5427649/kriley-pond.html	Kriley Pond	1				39.8342	-105.42986			N	Y		Y	N				toxins tested and not detected in one year only	
https://www.geonames.org/5427702/la-jara-reservoir.html	La Jara Reservoir	4			7347292	37.26745616	-106.353294	2.92	2957.35	Y	Y	Y	Y	N				only tested for toxins one year at two stations despite cell being present four years	
https://www.geonames.org/5578804/lagerman-reservoir.html	Lagerman Reservoir	1		chronic		40.13383	-105.18788			Y	N	Y	N		80544	Yes			https://bouldercounty.gov/open-space/parks-and-trails/lagerman/
https://www.geonames.org/5574164/lake-agnes.html	Lake Agnes	1				40.35244	-106.59502			Y		Y							
https://www.geonames.org/5578812/lake-catamount.html	Lake Catamount	3			3037925	40.35382756	-106.807108	2.12	2101.68	Y	Y	Y	Y	N				only tested for toxins once despite cells being observed four years	
https://www.geonames.org/5578828/lake-granby.html	Lake Granby	9	Yes		7025240	40.15554311	-105.848456	28.63	2524.78	Y	Y	Y	Y	N				sometime spelled Grandby: toxins tested and not detected in one year only	
https://www.geonames.org/5424536/lake-hatcher.html	Lake Hatcher	1		chronic		37.31623	-107.11299			Y	N	Y	N			Yes			
https://www.geonames.org/5427951/lake-henry.html	Lake Henry	2		chronic	2130674	38.26418	-103.70927			Y	N	Y	N						
https://www.geonames.org/5578508/lake-john.html	Lake John	2				40.7788	-106.47003			Y		Y							
https://www.geonames.org/5578834/lake-loveland.html	Lake Loveland	1				40.41223	-105.08741			Y		Y							
https://www.geonames.org/5430781/lake-meredith.html	Lake Meredith	5		chronic	2130676	38.19091	-103.7035			Y	N	Y	N		81076	Yes			
	Lake Nighthorse	1								N	Y		Y	N				found on map, but not in geonames, southwest of Durango; toxins tested and not detected in two years	
https://www.geonames.org/5427903/lake-pagosa.html	Lake Pagosa	1		chronic		37.27953	-107.0825			Y	N	Y	N			Yes			
https://www.geonames.org/5427912/lake-san-cristobal.html	Lake San Cristobal	2			960847	37.96989	-107.29147			Y		Y							
https://www.geonames.org/5578842/lake-thomas.html	Lake Thomas	1		chronic		40.2237	-104.95181			Y	N	Y	N			Yes			https://coloradobirdingtrail.com/site/prince-lakes-erie-and-thomas-reservoirs/
https://www.geonames.org/5578943/left-hand-reservoir.html	Left Hand Reservoir	1				40.06764	-105.56261			Y		Y							
https://www.geonames.org/5578954/leggett-and-hillcrest-reservoir.html	Leggett and Hillcrest Reservoir	1			6021792	40.02463	-105.19411			Y		Y							
https://www.geonames.org/5428284/lemon-reservoir.html	Lemon Reservoir	2			3491082	37.39981	-107.66276			Y		Y							
https://www.geonames.org/5428321/leon-lake.html	Leon Lake	1				39.07083	-107.81051			Y		Y							
https://www.geonames.org/5579021/lindenmeier-lake.html	Lindenmeier Lake	1				40.60991	-105.05071			Y	Y	Y	Y	N				toxins tested and not detected in one sample only	
https://www.geonames.org/5579194/lon-hagler-reservoir.html	Lon Hagler Reservoir	1				40.36557	-105.14927			Y	Y	Y	Y	N				toxins tested and not detected in one year only	
https://www.geonames.org/5579232/lonetree-reservoir.html	Lonetree Reservoir	2		chronic						Y		Y			80537, 80513	Yes?			https://www.poudrepaddlers.org/lonetree-reservoir.html
https://www.geonames.org/5579239/long-draw-reservoir.html	Long Draw Reservoir	1				40.49914	-105.78657			Y		Y							
https://www.geonames.org/5579272/long-pond-reservoir.html	Long Pond	1				40.62199	-105.05269			Y	N	Y	N						
https://www.geonames.org/5579380/loveland-reservoir.html	Loveland Reservoir	1				40.31695	-105.09756			Y		Y							
https://www.geonames.org/5429597/lower-dome-reservoir.html	Lower Dome Reservoir	Dome Lakes				38.2053	-106.73424			N	Y		Y	Y				Toxins measured in two years and detected in one year	
https://www.geonames.org/5579403/lower-latham-reservoir.html	Lower Latham Reservoir	1		chronic	4518843	40.34587	-104.6389			Y	N	Y	N			No			https://coloradobirdingtrail.com/site/lower-latham-reservoir/
https://www.geonames.org/5579464/mac-farlane-reservoir.html	Mac Farlane Reservoir	1		chronic	5740450	40.5463	-106.28708			Y	N	Y	N			No/Little			https://coloradobirdingtrail.com/site/macfarlane-reservoir/
https://www.geonames.org/5429796/mack-mesa-lake.html	Mack Mesa Lake	1				39.28241	-108.84321			N	Y								
https://www.geonames.org/5430102/maria-reservoir.html	Maria Reservoir	1				37.67554	-104.6801			Y		Y							
https://www.geonames.org/5579551/mariano-reservoir.html	Mariano Reservoir	1			7296720	40.38653	-105.14234			Y		Y							
https://www.geonames.org/5430175/marston-lake.html	Marston Lake	1	Yes		4372389	39.62962	-105.0681			Y		Y							
https://www.geonames.org/5430199/martin-lake.html	Martin Lake	1				37.48011	-107.2403			N	Y		Y	N				toxins tested and not detected in two years	
https://www.geonames.org/5430193/martin-lake-reservoir.html	Martin Lake Reservoir	1				37.6092	-104.83527											I think the COEPHT data are from Martin Lake Reservoir - not Martin Lake	
https://www.geonames.org/5430397/mayham-lake.html	Mayham Lake	1		chronic		39.81912	-105.04441			Y	N	Y	N		80030	Yes			
https://www.geonames.org/5579698/mcintosh-lake.html	McIntosh Lake	1		chronic		40.19385	-105.15141			Y	N	Y	N		80501, maybe 80503	Yes			https://www.longmontcolorado.gov/Home/Components/FacilityDirectory/FacilityDirectory/86/56?npage=2
https://www.geonames.org/5430568/mckay-lake.html	McKay Lake	1				39.95365	-105.01198			Y		Y							
https://www.geonames.org/5430439/mclellan-reservoir.html	McLellan Reservoir	1				39.56859	-105.01606			Y		Y							
https://www.geonames.org/5430649/mcphee-reservoir.html	McPhee Reservoir	12	Yes		5901149	37.5250185	-108.548192	17.54	2111.47	Y	Y	Y	Y	N				toxins tested and not detected in only one sample	
https://www.geonames.org/5579744/meadow-creek-reservoir.html	Meadow Creek Reservoir	2	Yes	chronic		40.05466	-105.74648			Y	N	Y	N			Yes		found on map, not in Geonames	
	Midwestern Farms SWA	1								N	Y							Ask COEPHT where this is, West of Holly CO	
https://www.geonames.org/5579915/milton-reservoir.html	Milton Reservoir	2		chronic	7053593	40.22868	-104.63896			Y	N	Y	N			Yes			
https://www.geonames.org/5579987/monarch-lake.html	Monarch Lake	1				40.10573	-105.74183			Y		Y							
https://www.geonames.org/5431704/montgomery-reservoir.html	Montgomery Reservoir	1				39.35566	-106.0758			Y		Y							
https://www.geonames.org/5431763/monument-lake.html	Monument Lake	1				37.2137	-105.04688			Y		Y							
https://www.geonames.org/5431933/morrow-point-reservoir.html	Morrow Point Reservoir	3	Yes		750033	38.44713298	-107.47086	3.14	2164.82	Y		Y							
https://www.geonames.org/5431996/mount-elbert-forebay.html	Mount Elbert Forebay	1			925671	39.10709	-106.35893			Y		Y							
https://www.geonames.org/5432071/mountain-home-reservoir.html	Mountain Home Reservoir	1				37.39379	-105.38663			Y		Y							
https://www.geonames.org/5580167/mulligan-reservoir.html	Mulligan Reservoir	1				40.21226	-104.9893			Y		Y							
https://www.geonames.org/5432332/narraguinnep-reservoir.html	Narraguinnep Reservoir	1			392965	37.49169	-108.62354			Y		Y							
https://www.geonames.org/5480865/navajo-reservoir.html	Navajo Reservoir	4	Yes		7057132	37.01794	-107.38642			Y	Y	Y	Y	Y				tested and detected in one year	
https://www.geonames.org/5432454/neegronda-reservoir.html	Neegronda Reservoir	3		chronic	5572077	38.303	-102.75508			Y	N	Y	N			Yes			https://coloradobirdingtrail.com/site/neegronda-reservoir/
https://www.geonames.org/5432455/neenoshe-reservoir.html	Neenoshe Reservoir	1			5331182	38.33768	-102.68987			Y	N	Y	N						
https://www.geonames.org/5432458/neeskah-reservoir.html	Neeskah Reservoir	2		chronic	27597	38.29004565	-102.644494			Y	N	Y	N			Yes			https://coloradobirdingtrail.com/site/queens-reservoirs/
https://www.geonames.org/5580290/newell-lake.html	Newell Lake	1				40.313	-105.04324			Y		Y							
https://www.geonames.org/5580350/north-delaney-lake.html	North Delaney Lake	1				40.71745	-106.46432			Y		Y							
https://www.geonames.org/5432988/north-lake.html	North Lake	1				37.24002	-105.03667			Y		Y							
https://www.geonames.org/5580437/north-poudre-reservoir-number-1.html	North Poudre Reservoir Number 1	1				40.73068	-105.12873			Y		Y							
https://www.geonames.org/5580440/north-poudre-reservoir-number-15.html	North Poudre Reservoir Number 15	1			5738552	40.78303	-105.12066			Y		Y							
https://www.geonames.org/5580442/north-poudre-reservoir-number-2.html	North Poudre Reservoir Number 2	1			4774034	40.72147	-105.05503			Y		Y						aka Demmel Lake	
https://www.geonames.org/5580443/north-poudre-reservoir-number-3.html	North Poudre Reservoir Number 3	1				40.73472	-105.04298			Y		Y							
https://www.geonames.org/5580446/north-poudre-reservoir-number-6.html	North Poudre Reservoir Number 6	1			73903	40.68018	-105.03673			Y		Y							
https://www.geonames.org/5580477/north-sterling-reservoir.html	North Sterling Reservoir	7			2286088	40.77941091	-103.290675	10.72	1240.45	Y	Y	Y	Y	Y				tested and detected in one year	
https://www.geonames.org/5433592/orlando-reservoir-number-2.html	Orlando Reservoir Number 2	1		chronic		37.7796	-104.80495			Y	N	Y	N			No			
https://www.geonames.org/5433701/overland-reservoir.html	Overland Reservoir	1				39.08428	-107.64611			Y		Y							
https://www.geonames.org/5580675/panama-reservoir-number-1.html	Panama Reservoir Number 1	1			5179752	40.09488	-105.08417			Y		Y							
